PartipantID,Index,Vis,Error,TruePerc,ReportPerc
2014-11-19-15-6,0,BarChart - white,0.569431,0.5364106,0.55
2014-11-19-15-6,1,BarChart - all different color,1.4991084,0.1270168,0.1
2014-11-19-15-6,2,BarChart - all same color,0.6203197,0.48587784,0.5
2014-11-19-15-6,3,BarChart - mark w/color,-0.5810284,0.95543486,0.95
2014-11-19-15-6,4,BarChart - white,1.0734448,0.63020545,0.65
2014-11-19-15-6,5,BarChart - all different color,1.4229913,0.1755641,0.15
2014-11-19-15-6,6,BarChart - mark w/color,1.5204407,0.22743787,0.2
2014-11-19-15-6,7,BarChart - white,1.4229913,0.1755641,0.15
2014-11-19-15-6,8,BarChart - mark w/color,1.4229913,0.1755641,0.15
2014-11-19-15-6,9,BarChart - all different color,2.5963454,0.25922528,0.2
2014-11-19-15-6,10,BarChart - mark w/color,-0.7065996,0.5451224,0.55
2014-11-19-15-6,11,BarChart - all same color,1.7426633,0.7677848,0.8
2014-11-19-15-6,12,BarChart - all different color,0.6203197,0.48587784,0.5
2014-11-19-15-6,13,BarChart - mark w/color,2.3777902,0.450724,0.4
2014-11-19-15-6,14,BarChart - white,0.66126007,0.31543538,0.33
2014-11-19-15-6,15,BarChart - all different color,1.2016883,0.57824916,0.6
2014-11-19-15-6,16,BarChart - all different color,-1.2823522,0.16286124,0.16
2014-11-19-15-6,17,BarChart - white,-1.2823522,0.16286124,0.16
2014-11-19-15-6,18,BarChart - mark w/color,1.5606731,0.57824916,0.55
2014-11-19-15-6,19,BarChart - all different color,2.4887114,0.5451224,0.6
2014-11-19-15-6,20,BarChart - white,1.6319736,0.9597437,0.93
2014-11-19-15-6,21,BarChart - all same color,0.34597233,0.09146007,0.08
2014-11-19-15-6,22,BarChart - all same color,1.0699551,0.9597437,0.94
2014-11-19-15-6,23,BarChart - all different color,0.55552626,0.663447,0.65
2014-11-19-15-6,24,BarChart - all same color,1.2252941,0.35213032,0.33
2014-11-19-15-6,25,BarChart - all same color,2.9413712,0.1755641,0.1
2014-11-19-15-6,26,BarChart - all same color,1.098772,0.6498328,0.67
2014-11-19-15-6,27,BarChart - white,4.1194572,0.22743787,0.4
2014-11-19-15-6,28,BarChart - all same color,1.729579,0.3180869,0.35
2014-11-19-15-6,29,BarChart - all same color,1.1565214,0.62104195,0.6
2014-11-19-15-6,30,BarChart - mark w/color,2.7086768,0.48587784,0.55
2014-11-19-15-6,31,BarChart - all same color,2.4835098,0.29532436,0.35
2014-11-19-15-6,32,BarChart - white,1.892502,0.48587784,0.45
2014-11-19-15-6,33,BarChart - all different color,1.1565214,0.62104195,0.6
2014-11-19-15-6,34,BarChart - all same color,2.502964,0.95543486,0.9
2014-11-19-15-6,35,BarChart - all same color,0.4093917,0.51203126,0.5
2014-11-19-15-6,36,BarChart - all different color,1.0699551,0.9597437,0.94
2014-11-19-15-6,37,BarChart - white,0.5141307,0.48696867,0.5
2014-11-19-15-6,38,BarChart - mark w/color,2.8287237,0.63020545,0.7
2014-11-19-15-6,39,BarChart - mark w/color,1.1565214,0.62104195,0.6
2014-11-19-15-6,40,BarChart - mark w/color,1.0280448,0.010857413,0.03
2014-11-19-15-6,41,BarChart - mark w/color,1.2537234,0.09259561,0.07
2014-11-19-15-6,42,BarChart - mark w/color,1.6076393,0.25922528,0.23
2014-11-19-15-6,43,BarChart - all same color,-0.37597054,0.09354413,0.1
2014-11-19-15-6,44,BarChart - all different color,1.0549825,0.41952693,0.4
2014-11-19-15-6,45,BarChart - all different color,3.4019942,0.80445665,0.7
