PartipantID,Index,Vis,Error,TruePerc,ReportPerc
2014-11-20-20-50,95,BarChart - all same color,-0.4070692,0.24370846,0.25
2014-11-20-20-50,96,BarChart - white,1.0874393,0.39999965,0.38
2014-11-20-20-50,97,BarChart - white,1.0422305,0.03065591,0.05
2014-11-20-20-50,98,BarChart - white,-1.5295576,0.7977862,0.8
2014-11-20-20-50,99,BarChart - white,2.6789339,0.5372118,0.6
2014-11-20-20-50,100,BarChart - white,-0.40280533,0.11368614,0.12
2014-11-20-20-50,101,BarChart - white,1.202716,0.72823274,0.75
2014-11-20-20-50,102,BarChart - white,-0.9900006,0.5037848,0.5
2014-11-20-20-50,103,BarChart - all different color,1.0422305,0.03065591,0.05
2014-11-20-20-50,104,BarChart - white,-0.37306648,0.8564714,0.85
2014-11-20-20-50,105,BarChart - all same color,1.4079139,0.07471468,0.1
2014-11-20-20-50,106,BarChart - mark w/color,2.802555,0.7314825,0.8
2014-11-20-20-50,107,BarChart - all different color,2.802555,0.7314825,0.8
2014-11-20-20-50,108,BarChart - all different color,4.6382833,0.7977862,0.55
2014-11-20-20-50,109,BarChart - all different color,0.703,0.41502887,0.4
2014-11-20-20-50,110,BarChart - all same color,1.7416184,0.06780899,0.1
2014-11-20-20-50,111,BarChart - white,1.2678466,0.95716983,0.98
2014-11-20-20-50,112,BarChart - mark w/color,1.6936316,0.568903,0.6
2014-11-20-20-50,113,BarChart - all same color,2.8346014,0.42991543,0.5
2014-11-20-20-50,114,BarChart - all different color,1.9093457,0.11368614,0.15
2014-11-20-20-50,115,BarChart - all different color,1.704403,0.61866057,0.65
2014-11-20-20-50,116,BarChart - white,1.7276949,0.03813018,0.07
2014-11-20-20-50,117,BarChart - mark w/color,-0.9900006,0.5037848,0.5
2014-11-20-20-50,118,BarChart - all different color,2.8682377,0.72823274,0.8
2014-11-20-20-50,119,BarChart - all different color,2.8682377,0.72823274,0.8
