PartipantID,Index,Vis,Error,TruePerc,ReportPerc
2014-10-15-19-13,0,TreeMap,1.9610356,0.062315863,0.1
2014-10-15-19-13,1,BarChart,-2.7582428,0.08022804,0.08
2014-10-15-19-13,2,BarChart(horizontal),2.0114875,0.93906975,0.9
2014-10-15-19-13,3,StackedBarChart,4.4325957,0.81469554,0.6
2014-10-15-19-13,4,TreeMap,2.5648408,0.45791897,0.4
2014-10-15-19-13,5,BarChart(horizontal),3.020209,0.5201215,0.6
2014-10-15-19-13,6,PieChart,2.3428771,0.65051866,0.7
2014-10-15-19-13,7,BarChart(horizontal),0.90236586,0.032558713,0.05
2014-10-15-19-13,8,StackedBarChart,3.8270698,0.64067626,0.5
2014-10-15-19-13,9,StackedBarChart,3.732127,0.9316369,0.8
2014-10-15-19-13,10,BarChart(horizontal),0.48370594,0.4872667,0.5
2014-10-15-19-13,11,TreeMap,4.448182,0.5329588,0.75
2014-10-15-19-13,12,PieChart,3.4660609,0.39074337,0.5
2014-10-15-19-13,13,BarChart(horizontal),1.9461148,0.66271645,0.7
2014-10-15-19-13,14,BarChart,0.72758746,0.91530865,0.9
2014-10-15-19-13,15,BarChart,1.7579098,0.4174292,0.45
2014-10-15-19-13,16,TreeMap,0.85107327,0.9667884,0.95
2014-10-15-19-13,17,TreeMap,2.4559844,0.09638127,0.15
2014-10-15-19-13,18,TreeMap,0.9849602,0.91854256,0.9
2014-10-15-19-13,19,StackedBarChart,1.3626384,0.6755345,0.7
2014-10-15-19-13,20,BarChart(horizontal),-2.587138,0.099585846,0.1
2014-10-15-19-13,21,StackedBarChart,2.0412438,0.93991,0.9
2014-10-15-19-13,22,TreeMap,2.8954768,0.72315896,0.65
2014-10-15-19-13,23,PieChart,-0.66294926,0.25506586,0.25
2014-10-15-19-13,24,BarChart(horizontal),1.5287049,0.8276027,0.8
2014-10-15-19-13,25,BarChart,0.56900436,0.113584995,0.1
2014-10-15-19-13,26,PieChart,1.1824563,0.7214463,0.7
2014-10-15-19-13,27,BarChart,-0.473805,0.94404936,0.95
2014-10-15-19-13,28,BarChart,2.8521566,0.5290421,0.6
2014-10-15-19-13,29,StackedBarChart,4.161856,0.47774607,0.3
2014-10-15-19-13,30,PieChart,2.8961086,0.6231916,0.55
2014-10-15-19-13,31,BarChart(horizontal),-1.1380248,0.30329382,0.3
2014-10-15-19-13,32,TreeMap,0.21071681,0.13967738,0.15
2014-10-15-19-13,33,BarChart(horizontal),1.7131145,0.16846322,0.2
2014-10-15-19-13,34,BarChart,1.6173451,0.07056901,0.1
2014-10-15-19-13,35,PieChart,1.735626,0.5679476,0.6
2014-10-15-19-13,36,BarChart,4.170308,0.62120223,0.8
2014-10-15-19-13,37,PieChart,2.446823,0.3032714,0.25
2014-10-15-19-13,38,BarChart,1.0756253,0.97982633,0.96
2014-10-15-19-13,39,BarChart(horizontal),0.85573983,0.26315314,0.28
2014-10-15-19-13,40,TreeMap,2.5530095,0.30743572,0.25
2014-10-15-19-13,41,TreeMap,0.9833562,0.5185206,0.5
2014-10-15-19-13,42,BarChart(horizontal),3.482254,0.639496,0.75
