PartipantID,Index,Vis,Error,TruePerc,ReportPerc
2014-10-15-19-3,0,BarChart,-0.21310423,0.2573768,0.25
2014-10-15-19-3,1,PieChart,0.435245,0.5622714,0.55
2014-10-15-19-3,2,BarChart,1.6491203,0.86988574,0.9
2014-10-15-19-3,3,BarChart(horizontal),-0.45785514,0.90603065,0.9
2014-10-15-19-3,4,BarChart(horizontal),2.5718622,0.25820765,0.2
2014-10-15-19-3,5,BarChart(horizontal),-0.8240387,0.7543986,0.75
2014-10-15-19-3,6,BarChart(horizontal),3.391623,0.24630052,0.35
2014-10-15-19-3,7,BarChart,1.0696315,0.71973896,0.7
2014-10-15-19-3,8,PieChart,2.7221928,0.5647375,0.5
2014-10-15-19-3,9,StackedBarChart,2.9920833,0.17831221,0.1
2014-10-15-19-3,10,BarChart(horizontal),2.7687798,0.6830969,0.75
2014-10-15-19-3,11,PieChart,2.7077982,0.6359176,0.7
2014-10-15-19-3,12,BarChart,2.8694205,0.12817284,0.2
2014-10-15-19-3,13,StackedBarChart,2.9994917,0.22872183,0.15
2014-10-15-19-3,14,PieChart,0.73281276,0.8153688,0.8
2014-10-15-19-3,15,BarChart,-2.1810029,0.9509552,0.95
2014-10-15-19-3,16,TreeMap,2.9869266,0.6719717,0.75
2014-10-15-19-3,17,BarChart,1.5339676,0.7222919,0.75
2014-10-15-19-3,18,BarChart(horizontal),0.44857663,0.18760307,0.2
2014-10-15-19-3,19,StackedBarChart,1.5501786,0.93196464,0.96
2014-10-15-19-3,20,TreeMap,3.9418771,0.40243208,0.25
2014-10-15-19-3,21,PieChart,2.7797527,0.8825765,0.95
2014-10-15-19-3,22,StackedBarChart,1.4047694,0.17477246,0.2
2014-10-15-19-3,23,StackedBarChart,2.6440578,0.88874125,0.95
2014-10-15-19-3,24,StackedBarChart,2.0104778,0.23904157,0.2
2014-10-15-19-3,25,BarChart(horizontal),2.7975388,0.86827534,0.8
2014-10-15-19-3,26,TreeMap,3.3444984,0.35032675,0.25
2014-10-15-19-3,27,BarChart,1.544225,0.022085264,0.05
2014-10-15-19-3,28,TreeMap,4.3250337,0.74918103,0.55
2014-10-15-19-3,29,BarChart(horizontal),0.82123935,0.76641923,0.75
2014-10-15-19-3,30,PieChart,1.9046943,0.98619294,0.95
2014-10-15-19-3,31,BarChart,-0.15276693,0.34225476,0.35
2014-10-15-19-3,32,TreeMap,4.927509,0.80306816,0.5
2014-10-15-19-3,33,BarChart(horizontal),3.0181842,0.67976475,0.6
2014-10-15-19-3,34,BarChart,0.83152735,0.3165457,0.3
2014-10-15-19-3,35,PieChart,0.22134049,0.91040814,0.9
2014-10-15-19-3,36,StackedBarChart,2.124819,0.9923648,0.95
2014-10-15-19-3,37,TreeMap,1.3776214,0.82526606,0.85
2014-10-15-19-3,38,StackedBarChart,2.8379307,0.22024938,0.15
2014-10-15-19-3,39,BarChart(horizontal),-1.480598,0.5023334,0.5
2014-10-15-19-3,40,PieChart,2.3249464,0.09885472,0.05
2014-10-15-19-3,41,TreeMap,-2.329598,0.7492606,0.75
2014-10-15-19-3,42,StackedBarChart,3.8653774,0.7944953,0.65
2014-10-15-19-3,43,BarChart,-1.2313026,0.096990675,0.1
2014-10-15-19-3,44,TreeMap,0.9923748,0.9313554,0.95
2014-10-15-19-3,45,BarChart(horizontal),3.512905,0.45290363,0.34
2014-10-15-19-3,46,PieChart,-0.4393136,0.95612484,0.95
2014-10-15-19-3,47,BarChart(horizontal),-0.55087197,0.86442393,0.87
2014-10-15-19-3,48,StackedBarChart,5.0141973,0.008085345,0.33
2014-10-15-19-3,49,TreeMap,2.6652572,0.46218404,0.4
2014-10-15-19-3,50,StackedBarChart,2.9987972,0.93868333,0.86
2014-10-15-19-3,51,PieChart,2.5311074,0.15655152,0.1
2014-10-15-19-3,52,StackedBarChart,3.7333996,0.4317542,0.3
2014-10-15-19-3,53,PieChart,3.2442043,0.7435051,0.65
2014-10-15-19-3,54,TreeMap,5.011482,0.99130684,0.67
2014-10-15-19-3,55,BarChart,-0.8985782,0.6458858,0.65
2014-10-15-19-3,56,TreeMap,3.1745517,0.8890391,0.8
2014-10-15-19-3,57,PieChart,1.6772907,0.18073268,0.15
2014-10-15-19-3,58,StackedBarChart,1.892554,0.8858792,0.85
2014-10-15-19-3,59,BarChart,2.3294034,0.19900975,0.15
2014-10-15-19-3,60,StackedBarChart,6.106227,0.012347917,0.7
2014-10-15-19-3,61,StackedBarChart,4.2126994,0.53416675,0.35
2014-10-15-19-3,62,TreeMap,3.9368293,0.35189533,0.2
2014-10-15-19-3,63,TreeMap,3.8525903,0.4432092,0.3
2014-10-15-19-3,64,BarChart(horizontal),0.9737468,0.81838936,0.8
2014-10-15-19-3,65,StackedBarChart,-1.0039362,0.20373638,0.2
2014-10-15-19-3,66,BarChart(horizontal),2.2585318,0.30339956,0.35
2014-10-15-19-3,67,BarChart,-0.13777432,0.9621608,0.97
2014-10-15-19-3,68,PieChart,2.6488528,0.41146684,0.35
2014-10-15-19-3,69,BarChart(horizontal),0.76571107,0.23424792,0.25
2014-10-15-19-3,70,TreeMap,2.5407925,0.9069409,0.85
2014-10-15-19-3,71,BarChart,1.9143922,0.3635545,0.4
2014-10-15-19-3,72,StackedBarChart,2.8554125,0.62887895,0.7
2014-10-15-19-3,73,TreeMap,3.077887,0.3831877,0.3
2014-10-15-19-3,74,PieChart,0.68997985,0.21488261,0.2
2014-10-15-19-3,75,PieChart,0.4997133,0.88711065,0.9
2014-10-15-19-3,76,PieChart,1.7086134,0.78143466,0.75
2014-10-15-19-3,77,PieChart,4.1447396,0.22436503,0.4
2014-10-15-19-3,78,StackedBarChart,-2.8595238,0.010127836,0.01
2014-10-15-19-3,79,BarChart,3.180414,0.8394067,0.75
2014-10-15-19-3,80,StackedBarChart,2.8892717,0.077160366,0.15
2014-10-15-19-3,81,TreeMap,2.9032817,0.5235626,0.45
2014-10-15-19-3,82,BarChart(horizontal),4.003156,0.45910043,0.3
2014-10-15-19-3,83,BarChart(horizontal),1.8652109,0.8248179,0.86
2014-10-15-19-3,84,BarChart,1.0136346,0.16893992,0.15
2014-10-15-19-3,85,PieChart,3.3278,8.4217277E-4,0.1
2014-10-15-19-3,86,StackedBarChart,5.2082715,0.71844697,0.35
2014-10-15-19-3,87,BarChart(horizontal),0.6817169,0.66479045,0.65
2014-10-15-19-3,88,BarChart(horizontal),-0.5086029,0.705779,0.7
2014-10-15-19-3,89,TreeMap,-0.29941592,0.5931242,0.6
2014-10-15-19-3,90,PieChart,3.390362,0.19639222,0.3
2014-10-15-19-3,91,TreeMap,1.2225477,0.72791415,0.75
2014-10-15-19-3,92,BarChart(horizontal),-0.50139385,0.07418576,0.08
2014-10-15-19-3,93,BarChart,3.0936425,0.3841149,0.3
2014-10-15-19-3,94,TreeMap,3.4192514,0.7757287,0.67
2014-10-15-19-3,95,BarChart,2.2805622,0.2826633,0.33
2014-10-15-19-3,96,BarChart,3.0025246,0.42110988,0.5
2014-10-15-19-3,97,BarChart,0.5820949,0.5562798,0.57
2014-10-15-19-3,98,TreeMap,2.191539,0.05557075,0.1
2014-10-15-19-3,99,TreeMap,2.191539,0.05557075,0.1
